移动,#genre#
东方卫视高清,http://182.245.29.132:8086/127/127.m3u8
芒果测试,http://182.245.29.132:8086/395/395.m3u8
老故事,http://182.245.29.132:8086/221/221.m3u8
爱上电影,http://182.245.29.132:8086/352/352.m3u8
会泽台,http://182.245.29.132:8086/454/454.m3u8
风云剧场,http://182.245.29.132:8086/211/211.m3u8
芒市TV,http://182.245.29.132:8086/271/271.m3u8
凤庆一套,http://182.245.29.132:8086/366/366.m3u8
浙江卫视高清,http://182.245.29.132:8086/304/304.m3u8
辽宁卫视高清,http://182.245.29.132:8086/337/337.m3u8
文山一套,http://182.245.29.132:8086/268/268.m3u8
活动频道2,http://182.245.29.132:8086/371/371.m3u8
中国电信智慧家庭,http://182.245.29.132:8086/422/422.m3u8
吉林卫视高清,http://182.245.29.132:8086/509/509.m3u8
CCTV-少儿高清,http://182.245.29.132:8086/248/248.m3u8
天津卫视高清,http://182.245.29.132:8086/192/192.m3u8
IPTV3+,http://182.245.29.132:8086/199/199.m3u8
CCTV-9-SD-点播,http://182.245.29.132:8086/476/476.m3u8
玉龙台,http://182.245.29.132:8086/444/444.m3u8
央视台球,http://182.245.29.132:8086/498/498.m3u8
快乐购,http://182.245.29.132:8086/494/494.m3u8
贵州卫视高清,http://182.245.29.132:8086/503/503.m3u8
四川卫视,http://182.245.29.132:8086/166/166.m3u8
云南四套,http://182.245.29.132:8086/463/463.m3u8
曲靖一套,http://182.245.29.132:8086/408/408.m3u8
马关台,http://182.245.29.132:8086/467/467.m3u8
双柏台,http://182.245.29.132:8086/359/359.m3u8
CCTV-13-SD-点播,http://182.245.29.132:8086/472/472.m3u8
CGTN,http://182.245.29.132:8086/150/150.m3u8
云龙台,http://182.245.29.132:8086/484/484.m3u8
CCTV-15音乐,http://182.245.29.132:8086/149/149.m3u8
隆阳区台,http://182.245.29.132:8086/468/468.m3u8
金鹰卡通,http://182.245.29.132:8086/188/188.m3u8
山东卫视高清,http://182.245.29.132:8086/338/338.m3u8
昭通三套,http://182.245.29.132:8086/333/333.m3u8
浙江卫视传发部信号,http://182.245.29.132:8086/439/439.m3u8
江苏卫视高清,http://182.245.29.132:8086/126/126.m3u8
普洱一套,http://182.245.29.132:8086/270/270.m3u8
玉溪二套,http://182.245.29.132:8086/420/420.m3u8
景洪台,http://182.245.29.132:8086/440/440.m3u8
CCTV-2高清,http://182.245.29.132:8086/243/243.m3u8
德钦台,http://182.245.29.132:8086/319/319.m3u8
CCTV-12高清,http://182.245.29.132:8086/247/247.m3u8
云南二套高清,http://182.245.29.132:8086/131/131.m3u8
保山一套,http://182.245.29.132:8086/264/264.m3u8
湖北卫视高清,http://182.245.29.132:8086/191/191.m3u8
CCTV-1,http://182.245.29.132:8086/119/119.m3u8
CETV-1 高清,http://182.245.29.132:8086/409/409.m3u8
CCTV1标清点播,http://182.245.29.132:8086/392/392.m3u8
视频测试2,http://182.245.29.132:8086/370/370.m3u8
CCTV-17农业高清,http://182.245.29.132:8086/510/510.m3u8
